full_event_name,count
FveVolTraceLogProvKM.Bitlocker.Driver.ROPolicy.Mount,39
InkAnalysisLoggingProvider.CreateInkAnalyzer,2
KernelGeneral.ProhibitNonMicrosoftBinaries,90
KernelGeneral.SystemTimeChange,41
KernelProcess.AppStateChangeSummary,1274
LSM.ConnectTime,35
LSM.DisconnectTime,28
LSM.LogonTime,51
LSM.ReconnectTime,11
LSM.SessionArbitration,101
LSM.TerminalClass,32
LSM.TerminalType,28
LocalUserImageProvider.GetLocalUserImage,6
MSAClientTraceLoggingProvider.AcquireTokens,1774
MSAClientTraceLoggingProvider.ActivityError,21
MSAClientTraceLoggingProvider.Associate,1
MSAClientTraceLoggingProvider.AssociateAccountConnectIdentityFailure,3
MSAClientTraceLoggingProvider.CloudAP_WLIDCAcquireTokensEx,6
MSAClientTraceLoggingProvider.ConfigDownloadData,5
MSAClientTraceLoggingProvider.Connect,2
MSAClientTraceLoggingProvider.CreateUserIdKeyAsync,6
MSAClientTraceLoggingProvider.CreateUserIdKeyForUserAsync,6
MSAClientTraceLoggingProvider.DeviceKeyholderLicenseInstall,6
MSAClientTraceLoggingProvider.DeviceLicenseInstall,6
MSAClientTraceLoggingProvider.DeviceProvisioningEarlyExitLogic,285
MSAClientTraceLoggingProvider.Disassociate,2
MSAClientTraceLoggingProvider.Disconnect,1
MSAClientTraceLoggingProvider.GetAppData,6
MSAClientTraceLoggingProvider.GetLatestProtectionKey,1353
MSAClientTraceLoggingProvider.GetPoPTokens,93
MSAClientTraceLoggingProvider.GetSpecifiedProtectionKey,86
MSAClientTraceLoggingProvider.GetSystemTicketFailedStatus,2
MSAClientTraceLoggingProvider.HandleGetProofOfPossessionTokens,14
MSAClientTraceLoggingProvider.HardwareDeviceProvisioning,5
MSAClientTraceLoggingProvider.IdleCallback,67
MSAClientTraceLoggingProvider.LockAcquisition,95
MSAClientTraceLoggingProvider.MSAExtAssociateAccountAsync,8
MSAClientTraceLoggingProvider.MSAExtAssociateAccountForUserAsync,8
MSAClientTraceLoggingProvider.MSAExtConnectAccountAsync,14
MSAClientTraceLoggingProvider.MSAExtConnectAccountForUserAsync,14
MSAClientTraceLoggingProvider.MSAExtGetContextParametersAsync,28
MSAClientTraceLoggingProvider.MSAExtGetContextParametersForUserAsync,28
MSAClientTraceLoggingProvider.MSAExtIsNgcCreateContainerDisabledAsync,10
MSAClientTraceLoggingProvider.MSAExtIsNgcCreateContainerDisabledForUserAsync,10
MSAClientTraceLoggingProvider.MSAExtIsNgcEnabledAsync,2
MSAClientTraceLoggingProvider.MSAExtIsNgcEnabledForUserAsync,2
MSAClientTraceLoggingProvider.MSALogonProfileLoad,4
MSAClientTraceLoggingProvider.NetworkCallDetails,230
MSAClientTraceLoggingProvider.NgcCreateContainer,3
MSAClientTraceLoggingProvider.NgcCreateUserIdKeyEx,3
MSAClientTraceLoggingProvider.PrimeNgcLogonCache,4
MSAClientTraceLoggingProvider.ProvisionUserIdKey,9
MSAClientTraceLoggingProvider.ServerErrors,3
MSAClientTraceLoggingProvider.ServiceStop,67
MSAClientTraceLoggingProvider.SignOutUser,23
MSAClientTraceLoggingProvider.SkipTokenUpdateOnProfileLoadInfo,7
MSAClientTraceLoggingProvider.TpmKeyStatus,129
MSAClientTraceLoggingProvider.TpmKeyStatusUserIdKeyRegister,3
MSAClientTraceLoggingProvider.UserStoreStateChange,2
MSAClientTraceLoggingProvider.WLIDCRegisterUserIdkey,3
MSAClientTraceLoggingProvider.WLIDSvcCredDelete,27
Microsoft-Windows-BITS-Client.JobCanceled,4
Microsoft-Windows-BITS-Client.JobCompleted,186
Microsoft-Windows-BITS-Client.ServiceShutdown,1
Microsoft-Windows-BITS-Client.ServiceStartup,5
Microsoft-Windows-Desktop-ApplicationFrame.AfterShowWindow,190
Microsoft-Windows-Desktop-ApplicationFrame.ApplicationFrame_Initialize,380
Microsoft-Windows-Desktop-ApplicationFrame.BeforeShowWindow,190
Microsoft-Windows-Desktop-ApplicationFrame.FadeOutCurrentSystemVisual,49
Microsoft-Windows-Desktop-ApplicationFrame.MoveSizeLoop,42
Microsoft-Windows-Desktop-ApplicationFrame.ThemeAwareSplashScreenColorDetected,102
Microsoft-Windows-Desktop-ApplicationManager.AppFrameHostStartup,34
Microsoft-Windows-Desktop-ApplicationManager.SetSystemVisual,33
Microsoft-Windows-Desktop-ApplicationManager.SplashScreenSuppressed,46
Microsoft-Windows-Desktop-Shell-Personalization.WallpaperMigrationActivity,4
Microsoft-Windows-Desktop-Shell-Personalization.WallpaperUpdatedViaUpdateImageToSystemSetting,17
Microsoft-Windows-Desktop-Shell-Windowing.AppSnapped,1
Microsoft-Windows-Desktop-Shell-Windowing.ChromeControlsInvokeBack,5
Microsoft-Windows-Desktop-Shell-Windowing.EnterCompactOverlayModeForView,16
Microsoft-Windows-Desktop-Shell-Windowing.PositionViewForActivation,114
Microsoft-Windows-Desktop-Shell-Windowing.ResizeCompactOverlayModeView,20
Microsoft-Windows-Desktop-Shell-Windowing.TMCSwitchMode,34
