Win11 full_event_name,count
Microsoft.OSG.DU.DeliveryOptClient.TraceRoute,1
Microsoft.OSG.DU.DeliveryOptClient.Upload,1
Microsoft.OSG.OSS.CredProvFramework.CredProviderExecutionTime,2
Microsoft.OSG.OSS.CredProvFramework.EnumerateCredentialsStart,3
Microsoft.OSG.OSS.CredProvFramework.EnumerateCredentialsStop,3
Microsoft.OSG.OSS.CredProvFramework.EnumerateProvidersStart,3
Microsoft.OSG.OSS.CredProvFramework.EnumerateProvidersStop,3
Microsoft.OSG.OSS.CredProvFramework.GetSerializationStart,10
Microsoft.OSG.OSS.CredProvFramework.GetSerializationStop,10
Microsoft.OSG.OSS.CredProvFramework.ReportResultStart,10
Microsoft.OSG.OSS.CredProvFramework.ReportResultStop,10
Microsoft.OSG.OSS.CredProvFramework.SelectCredentialStart,4
Microsoft.OSG.OSS.CredProvFramework.SelectCredentialStop,4
Microsoft.OSG.Web.WinInet.CacheAccessStatsAggregate,155
Microsoft.OSG.Web.WinInet.CacheCleanupStats,52
Microsoft.OSG.Web.WinInet.CacheFileIO,191
Microsoft.OSG.Web.WinInet.Http2ConnectionSharingResendDisableFlags,54
Microsoft.OSG.Web.WinInet.Http2NotCoalescedRequestConnectionTime,43
Microsoft.OSG.Web.WinInet.Http2RstStreamReceived,4
Microsoft.OSG.Web.WinInet.TLS13HandshakeFailed,1
Microsoft.OSG.Web.WinInet.TLSHandshakeSucceeded,470
Microsoft.OSG.Web.WinInet.TlsFallback,1
Microsoft.OneCore.NetworkingTriage.GetConnected.InterfaceCapabilityChangedEvent,7
Microsoft.OneCore.NetworkingTriage.GetConnected.InterfaceConnectedStateChangedEvent,2
Microsoft.OneCore.NetworkingTriage.GetConnected.InterfaceStateUnhiddenAction,1
Microsoft.OneCore.NetworkingTriage.GetConnected.MachineConnectivityChangedEvent,19
Microsoft.OneCore.NetworkingTriage.GetConnected.ProfilePushedToFirewallEvent,6
Microsoft.OneCore.NetworkingTriage.GetConnected.RetransmitTimedOutEvent,3
Microsoft.OneCore.NetworkingTriage.GetConnected.RouteAddedEvent,1
Microsoft.OneCore.NetworkingTriage.GetConnected.UXViewDesktopIconUpdateAction,23
Microsoft.OneCore.NetworkingTriage.GetConnected.UXViewIconChangedEvent,51
Microsoft.OneDrive.Sync.Client.OneDriveIDsV2,18
Microsoft.OneDrive.Sync.Updater.OverlayIconStatus,1
Microsoft.OneDrive.Sync.Updater.UpdateOverallResult,2
Microsoft.OneDrive.Sync.Updater.UpdateXmlDownloadHResultV2,2
Microsoft.Outlook.Hx.Client.Common.ActionQueued,5
Microsoft.Outlook.Hx.Client.Common.Pulse,2
Microsoft.Outlook.Hx.Client.Common.SyncHealthHourly,7
Microsoft.Outlook.Hx.Client.Diagnostics.Assert,24
Microsoft.Outlook.Hx.Client.Diagnostics.Trace,51
Microsoft.Tpm.Drv.GetResetRestartCountFailed,1
Microsoft.Tpm.ProvisioningTask.AikEnrollForOneCertFailed,9
Microsoft.Tpm.ProvisioningTask.CTpmCoreClass::Initialize,3
Microsoft.Tpm.ProvisioningTask.TpmImproperShutdownDetected,1
Microsoft.Tpm.ProvisioningTask.TpmInfoTrace,18
Microsoft.Tpm.ProvisioningTask.TpmLockoutCountInfo,9
Microsoft.Tpm.ProvisioningTask.TpmProvisionStep,63
Microsoft.Tpm.ProvisioningTask.TpmProvisioningClearOccurred,9
Microsoft.Tpm.ProvisioningTask.TpmProvisioningTaskCreateWindowsAIK,9
Microsoft.Tpm.ProvisioningTask.TpmTaskEnrollWindowsAikCertificateResult,9
Microsoft.Tpm.ProvisioningTask.TpmTaskInfo,27
Microsoft.Tpm.ProvisioningTask.TpmTaskRunTime,9
Microsoft.Tpm.ProvisioningTask.TpmTaskStateDidNotChange,9
Microsoft.Tpm.Tbs.TbsRemapError,39
Microsoft.UI.Xaml.Controls.RuntimeProfiler,64
Microsoft.Web.Platform.BeforeNavigate,123
Microsoft.Web.Platform.CDocCreated,31
Microsoft.Web.Platform.CSSAnimationPropertyUsage,2
Microsoft.Web.Platform.CSSTransitionPropertyUsage,1
Microsoft.Web.Platform.Chakra.ChakraInit,118
Microsoft.Web.Platform.Chakra.DirectCallRaw.PerfStats,79
Microsoft.Web.Platform.Chakra.GCTelemetry_0,169
Microsoft.Web.Platform.Chakra.RecyclerUtilization_0,18
Microsoft.Web.Platform.Chakra.ScriptContextTelemetry,79
